Алматы → Шымкент - 681 км, оборудование, 170.000 тнг.  , тент (бок+верх)
Алматы → Актау - 2865 км, мебель, 470.000 тнг.  , тент (зад)
Алматы → Кокшетау - 1520 км, хозтовары, 320.000 тнг.  , крытая (зад)
Алматы → Нур-Султан - 1214 км, стройматериалы, 270.000 тнг.  , тент (бок)
Алматы → Туркестан - 827 км, соки на паллетах, 160.000 тнг.  , тент (зад)
Алматы → Туркестан - 827 км, гофротара, 140.000 тнг.  , тент (бок)
Алматы → Актогай - 697 км, стройматериалы, 0, Актогай,  тент (зад+бок)
Алматы → Кокшетау - 1520 км, хозтовары в коробках, 300.000 тнг.  , крытая (зад)
Алматы → Шымкент - 681 км, медикаменты в коробках, 100.000 тнг.  , крытая
Алматы → Актау - 2865 км, Эмульсия, 0, крытая (зад)
Алматы → Кызылорда - 1116 км, продукты на паллетах, 0, Кызылорда,  крытая (зад)
Алматы → Нур-Султан - 1214 км, Автомасла, 220.000 тнг.  , крытая (зад)
Алматы → Актау - 2865 км, краска водоэмульсионная, 0, крытая (зад)
Алматы → Кокшетау - 1520 км, Хозтовары , 280.000 тнг.  , крытая (зад)
Алматы → Астана - 1214 км, тнп, 160.000 тнг.  , тент (зад)
Алматы → Туркестан - 827 км, ТНП , 150.000 тнг.  , тент (зад)
Алматы → Нур-Султан - 1214 км, стройматериал, 240.000 тнг.  , тент (зад+бок)
Алматы → Орск - 2235 км, Капуста , рефр. (зад)
Алматы → Сарыагаш - 799 км, Сыре мешках, 160.000 тнг.  , рефр (зад) тон.
Алматы → выгр.: Шымкент → Кентау, Хоз тавар, 210.000 тнг.  , крытая (зад) 
Алматы → выгр.: Шымкент → Жетысай, Хоз тавар, 220.000 тнг.  , крытая (зад) 
Алматы → Шымкент - 681 км, саженцы, 0, Шымкент,  тент (бок+верх)
Алматы → Актау - 2865 км, продукты, 0, крытая (зад)
Алматы → Аягоз - 786 км, Теп, 0,  тент (зад)
Алматы → Караганда - 999 км, металл, 0, любая
Алматы → Кокшетау - 1520 км, продукты, 0, крытая (зад)
Алматы → Астана - 1214 км, . паллета,  кг., 35.000 тнг.  , рефр. (верх)
Капшагай → Шымкент - 753 км, cтройматериалы, 130.000 тнг.  , тент (зад+бок)
Алматы → Семей - 1121 км, Стройматериалы, 0,  тент (зад+бок)
Алматы → Туркестан - 827 км, Газон , 170.000 тнг.  , тент (зад)
Алматы → Атырау - 2674 км, Бытовая химия , 480.000 тнг.  , тент (зад)
Алматы → Тараз - 490 км, Брусчаткий , 120.000 тнг.  , тент (зад+бок)
Алматы → Караганда - 999 км, Контеинер , 0, конт. (зад)
Талдыкорган → выгр.: Бейнеу → Атырау, опоры, 0, тент (зад+бок)
Алматы → Туркестан - 827 км, газон в рулоне  кол. машин:  , 150.000 тнг.  , тент (зад+бок)
Алматы → Уфа - 2596 км, перец, 0, Уфа, рефр. (зад)
Алматы → Екатеринбург - 2351 км, перец, 0, Екатеринбург, рефр. (зад)
Алматы → Усть-Каменогорск - 1093 км, продукты, 280.000 тнг.  , крытая (зад)
Алматы → Туркестан - 827 км, бочки, 220.000 тнг.  , крытая (зад)
Алматы → Нур-Султан - 1214 км, Подложка под линолуем, 160 тнг.  , любая (зад)
Алматинская область → Шымкент - 951 км, пенопласт, 150.000 тнг.  , крытая (зад)
Алматы → Жезказган - 1380 км, металл, 0, тент (бок)
Алматы → Шымкент - 681 км, Бытовая химия , 140.000 тнг.  , тент (зад) 
Алматы → Семей - 1121 км, Пластик, 300.000 тнг.  , любая (зад)
Алматы → Нур-Султан - 1214 км, .продукты, 0, крытая (зад)
Алматы → Шымкент - 681 км, ТНП, 120.000 тнг.  , крытая (зад)
Алматы → Кокшетау - 1520 км, Хоз.товары , 280.000 тнг.  , крытая (зад)
Алматы → Москва - 3958 км, бытовая химия, 1.600.000 тнг.  , тент (зад) 
Алматы → Тараз - 490 км, Кабель барабанах, 80.000 тнг.  , любая (верх)
Алматы → Актогай - 697 км, хоз товар, 100.000 тнг.  , крытая (зад)
Байсерке → Шымкент - 711 км, масло в бочках, 0, крытая (зад)
Алматы → Шымкент - 681 км, тнп в коробках , 140.000 тнг.  , тент(зад)
Алматы → Шымкент - 681 км, саженцы, 130.000 тнг.  , тент (бок+верх)
Алматы → Байконур - 1362 км, сэндвич панели ремни: , 200.000 тнг.  , тент (бок+верх)
Алматы → Москва - 3958 км, продукты, 1.500.000 тнг.  , рефр. (зад)
Алматы → Туркестан - 827 км, резиновый грануляд в мешках, 0, крытая (зад)
Алматы → Белгород - 3859 км, Тнп, 0, крытая (зад)
Алматы → Уральск - 2658 км, оборудование, 400.000 тнг.  , тент
Алматы → Шымкент - 681 км, Салфетки, 140.000 тнг.  , крытая (зад)
Алматы → Туркестан - 827 км, Алкоголь, 150.000 тнг.  , крытая (зад)
Алматы → Алаколь - 610 км, Сип панель и окна пластиковые, , 150.000 тнг.  , любая (зад)
Алматы → Павлодар - 1437 км, Трубы, 0, тент (верх)
Алматы → Шымкент - 681 км, тнп, 0, рефр. (зад)
Алматы → Шымкент - 681 км, стройматериалы, 140.000 тнг.  , крытая (бок+верх)
Алматы → Тараз - 490 км, Пластик, 90.000 тнг.  , любая (зад)
Алматы → Усть-Каменогорск - 1093 км, Оборудование, 0, Усть-Каменогорск, тент (бок+верх)
Алматы → Худжанд, TJ - 970 км, напитки, 0, любая (зад)
Шу → Орск - 1985 км, Лук, 0, Орск -
Алматы → Шымкент - 681 км, салфетки, кмкрытая 150.000 тнг. ,  -
Алматы → Байконур - 1362 км, Сэндвич панели  штук, 220.000 тнг.  , тент (бок+верх)Ремни
Шу → Магнитогорск - 2243 км, Лук, 0 -
Алматы → Астана - 1214 км, Материалы, 250.000 тнг.  , тент (бок)
Алматы → Шымкент - 681 км, тнп, 150 тнг.  , любая (зад)
Алматы → Нур-Султан - 1214 км, Продукты.медикаменты , 0, Нур-Султан, крытая (зад)
Алматы → Москва - 3958 км, Контейнер, 200.000 тнг.  , любая (верх)Только водители
Алматы → Усть-Каменогорск - 1093 км, .т / .м.*.*., 0, Усть-Каменогорск,  -
Шу → Усть-Каменогорск - 1375 км, овощи, 0, Усть-Каменогорск,  -
Алматы → Шымкент - 681 км, стройматериал, 140.000 тнг.  , тент (бок)
Алматы → Шымкент - 681 км, бочки на палетах, 120.000 тнг.  , тент (зад+бок+верх)
Алматы → Нур-Султан - 1214 км, пластиковые изделия, 240.000 тнг.  , крытая (зад)
Алматы → Нур-Султан - 1214 км, Арматура в пачках, 300.000 тнг.  , тент (верх)
Алматы → Нур-Султан - 1214 км, кирпич на паллетах, 270.000 тнг.  , тент (бок)
Талгар → Нур-Султан - 1224 км, кирпич на паллетах, 0, -  крытая
Алматы → Караганда - 999 км, прицеп,  270.000 тнг.  , крытая (зад)
Алматы → выгр.: Тараз → Шымкент, продукты, 0, крытая (зад)
Алматы → выгр.: Шымкент → Кызылорда, алкоголь, 0, изот. (зад)
Алматы → Туркестан - 827 км, тнп, 0, изот. (зад)
Алматы → Актобе - 2184 км, Металл, 280.000 тнг.  , тент (верх)
Алматы → Усть-Каменогорск - 1093 км, КОНТЕЙНЕР -  футовый (СТАНД, 120.000 тнг.  , - ПУСТОЙ.
Алматы → Караганда - 999 км, КОНТЕЙНЕР -  футовый (СТАНД, 110.000 тнг.  , - ПУСТОЙ.
Алматы → Шымкент - 681 км, профнастил, 140.000 тнг.  , крытая (зад+бок+верх)
Алматы → Тараз - 490 км, мороженое, 100.000 тнг.  , рефр. (зад)кол. паллет
Алматы → Жетысай, мороженое, 200.000 тнг.  , рефр. (зад)
Алматы → Балхаш - 631 км, молочная продукция, 250.000 тнг.  , рефр. (зад)
Алматы → Усть-Каменогорск - 1093 км, Оборудование, 0, любая (верх)
Алматы → Петропавловск - 1713 км, Тнп, 0, Петропавловск, тент(зад)
Алматы → догр.: Шымкент → Кызылорда, Черепица , 220.000 тнг.  , тент (бок+верх)
Бишкек → Уральск - 2506 км, -картофель, 0, Уральск,  рефр. (зад)
Кордай → Челябинск - 2206 км, -Овощи, 0, рефр. (зад)
Кордай → Барнаул - 1776 км, -лук в сетке, 0, рефр. (зад)
Кордай → Уфа - 2648 км, овощи, 0, Уфа, рефр. (зад)
Кордай → Пермь - 2673 км, -лук в сетке, 0, Пермь, рефр. (зад)
Алматы → Пермь - 2716 км, Овощи, 0, рефр. (зад)
Алматы → Челябинск - 2249 км, Овощи, 0, рефр. (зад)
Алматы → Екатеринбург - 2351 км, Овощи, 0, рефр. (зад)
Алматы → Шымкент - 681 км, Бумага , 150.000 тнг.  , тент (бок)
Алматы → Шымкент - 681 км, Текстиль  , 80.000 тнг.  , крытая (зад)
Хоргос → Алматы - 342 км, мтнп, 0, Алматы, тент(зад)
Мерке → Шу - 168 км, Стеллажи , 30.000 тнг.  , любая (зад)
Алматы → Шу - 290 км, пиво на поддонах, 90.000 тнг.  , крытая (зад)
Алматы → Мерке - 335 км, Напитки , 0, рефр. (зад)
Хоргос → Модуньо, IT - 7295 км, ТНП, 0, тент (зад)
Хоргос → Жалалабат - 993 км, ТНП, 0, тент(зад)
Хоргос → Жалалабат - 993 км, Груз в палетах , 0, тент(зад)
Алматы → Жезказган - 1380 км, Тнп, 0, Жезказган,  тент(зад)
Алматы → Жаркент - 296 км, Пустые контейнеры, 35.000 тнг.  , любая (верх)
Алматы → Петропавловск - 1713 км, Масло в бочках,  палеты, 60.000 тнг.  , любая (зад)
Алматы → Павлодар - 1437 км, Бытовая техника, 350.000 тнг.  , можно рэф
Алматы → Шымкент - 681 км, медикаменты в коробках, 90.000 тнг.  , крытая (зад)
Алматы → Уральск - 2658 км, обородувание, 370.000 тнг.  , тент (бок+верх)
Бишкек → Алматы - 235 км, тнп, 0, тент(зад)
Алматы → Шымкент - 681 км, Оборудования , 180.000 тнг.  , открытая (верх)
Алматы → Шымкент - 681 км, Профиль пвх оконный, 150.000 тнг.  , тент (бок+верх)
Бишкек → Набережные Челны - 2825 км, овощи, 0, Челны, рефр. (зад)
Бишкек → Воронеж - 3425 км, овощи, 0, Воронеж, рефр. (зад)
Алматы → Туркестан - 827 км, Яблоки реф нужен, 0, любая
Хоргос → Алматы - 337 км, Башенный кран , тнг. на карту , тент (зад+верх)
Капшагай → Алматы - 79 км, Макаронные изделия, 27.000 тнг.  , тент (зад)
Алматы → Шымкент - 681 км, салфетки, 145.000 тнг.  , тент (зад)
Алматы → Туркестан - 827 км, Быт.тех, 130.000 тнг.  , рефр. (зад)
Алматы → Шымкент - 681 км, гофрокартон на паллетах, 90.000 тнг.  , тент (зад+бок+верх)
Алматы → Сарыагаш - 799 км, Сырьё, 120.000 тнг.  , тент (зад)
Алматы → Новосибирск - 1796 км, контейнер фут  кол. машин: , 230.000 тнг.  , тент (зад)
Алматы → Шымкент - 681 км, Сантехника , 0, Шымкент,  тент (зад)
Алматы → Риддер - 1217 км, .трубы по полу, 180.000 тнг.  , тент (зад)
Шу → Новосибирск - 1866 км, Лук, 0, тент (зад)
Алматы → Уфа - 2596 км, Перец , 800.000 тнг.  , рефр. (зад) 
Алматы → Дубай - 5332 км, Оборудование , 0, Дубай, тент (бок+верх)
Алматы → Шымкент - 681 км, Металл кг. Минплита куб, 100.000 тнг.  , тент (зад)
Алматы → Тараз - 490 км, Утеплитель , 0, тент (зад)
Талдыкорган → Караганда - 1157 км, Профлист .метра ширина метр, 0, Караганда,  тент (зад)
Алматы → Киев - 4336 км, тнп, 0, Киев, тент(зад)
Алматы → Жезказган - 1380 км, Соки , 0, Жезказган, тент (зад)
Алматы → Байконур - 1362 км, сендвич панели, 180.000 тнг.  , тент (бок+верх)
Отар → Тараз - 358 км, Пустые кислородные балоны, 40.000 тнг.  , любая (зад+бок+верх)
Алматы → выгр.: Кордай → Тараз, напитки, 120.000 тнг.  , крытая (зад)
Иссык-Кульская область → Набережные Челны - 3148 км, овощи, 0, тент (зад)
